name,state,total_population,median_household_income,gross_rent,median_home_value,total_in_labor_workforce,total_not_in_labor_workforce,total_education,education_no_hs,education_hs,education_associates,education_bachelors,education_graduate,total_occupancy_status,occupancy_status_occupied,occupancy_status_vacant,total_home_tenure,home_tenure_owner_occupied,home_tenure_renter_occupied,reporting_date,region_type,city
Alabama,01,4850771,46472,747,132100,3876136,1642927,3276637,481059,1012551,979449,503930,299648,2231126,1856695,374431,1856695,1273217,583478,2017-01-01,state,
Alabama,01,4864680,48486,772,137200,3894696,1657532,3299958,470043,1020172,987148,515443,307152,2244462,1860269,384193,1860269,1275223,585046,2018-01-01,state,
Alabama,01,4876250,50536,792,142700,3907144,1664359,3320877,458922,1022839,993344,529178,316594,2255026,1867893,387133,1867893,1284748,583145,2019-01-01,state,
Alabama,01,4893186,52035,811,149600,3926842,1666862,3344006,438947,1014342,1013673,546674,330370,2270398,1888504,381894,1888504,1306505,581999,2020-01-01,state,
Alabama,01,4997675,54943,852,157100,4005499,1691883,3413803,430047,1041209,1032122,563628,346797,2278526,1902983,375543,1902983,1320571,582412,2021-01-01,state,
Alabama,01,5028092,59609,925,179400,4046614,1701528,3428520,421180,1041725,1032770,572252,360593,2296920,1933150,363770,1933150,1347792,585358,2022-01-01,state,
Florida,12,20278447,50883,1077,178700,16645386,6872624,14396066,1787348,4170468,4342392,2616384,1479474,9259684,7510882,1748802,7510882,4868827,2642055,2017-01-01,state,
Florida,12,20598139,53267,1128,196800,16932309,7000510,14686727,1769489,4231678,4402103,2721635,1561822,9348689,7621760,1726929,7621760,4954601,2667159,2018-01-01,state,
Florida,12,20901636,55660,1175,215300,17201999,7085973,14965745,1767583,4276237,4450224,2827938,1643763,9448159,7736311,1711848,7736311,5058841,2677470,2019-01-01,state,
Florida,12,21216924,57703,1218,232000,17486583,7178515,15255326,1751798,4308542,4535040,2938593,1721353,9562324,7931313,1631011,7931313,5250878,2680435,2020-01-01,state,
Florida,12,21339762,61777,1301,248700,17577024,7128734,15349290,1682505,4282929,4543900,3038293,1801663,9764897,8157420,1607477,8157420,5420631,2736789,2021-01-01,state,
Florida,12,21634529,67917,1444,292200,17893588,7263895,15579847,1670872,4316799,4554710,3154240,1883226,9915957,8353441,1562516,8353441,5585924,2767517,2022-01-01,state,
New Jersey,34,8960161,76475,1249,321100,7197215,2472973,6163699,666782,1722597,1426484,1439971,907865,3595055,3199111,395944,3199111,2052073,1147038,2017-01-01,state,
New Jersey,34,8881845,79363,1295,327900,7142175,2458063,6129542,641113,1683568,1420805,1457910,926146,3605401,3213362,392039,3213362,2054413,1158949,2018-01-01,state,
New Jersey,34,8878503,82545,1334,335600,7148309,2458460,6146379,625931,1670942,1408555,1489653,951298,3616614,3231874,384740,3231874,2064240,1167634,2019-01-01,state,
New Jersey,34,8885418,85245,1368,343500,7161184,2452078,6169501,600761,1649853,1405825,1530150,982912,3628732,3272054,356678,3272054,2094427,1177627,2020-01-01,state,
New Jersey,34,9234024,89703,1436,355700,7436293,2531257,6411606,608877,1693560,1448316,1611515,1049338,3738342,3397156,341186,3397156,2168148,1229008,2021-01-01,state,
New Jersey,34,9249063,97126,1577,401400,7473298,2534217,6427003,601741,1674625,1435069,1636308,1079260,3756340,3438162,318178,3438162,2195831,1242331,2022-01-01,state,
Texas,48,27419612,57051,952,151500,20998008,7432970,17454431,3005904,4372430,5065702,3288777,1721618,10611386,9430419,1180967,9430419,5851046,3579373,2017-01-01,state,
Texas,48,27885195,59570,998,161700,21394120,7575789,17815359,2993432,4448881,5153577,3409836,1809633,10769900,9553046,1216854,9553046,5917771,3635275,2018-01-01,state,
Texas,48,28260856,61874,1045,172500,21736238,7680386,18131554,2957959,4525099,5227820,3534714,1885962,10937026,9691647,1245379,9691647,6004802,3686845,2019-01-01,state,
Texas,48,28635442,63826,1082,187200,22078090,7769024,18449851,2884734,4559034,5343905,3671085,1991093,11112975,9906070,1206905,9906070,6168808,3737262,2020-01-01,state,
Texas,48,28862581,67321,1146,202600,22261181,7768365,18619469,2826181,4563619,5358474,3791665,2079530,11433880,10239341,1194539,10239341,6391061,3848280,2021-01-01,state,
Texas,48,29243342,73035,1251,238000,22698396,7914084,18910948,2792334,4626129,5390698,3919003,2182784,11654971,10490553,1164418,10490553,6545727,3944826,2022-01-01,state,
ZCTA5 07001,34,18244,68426,1323,269700,15241,7729,14079,802,7302,2504,2196,1275,5236,5020,216,5020,2422,2598,2017-01-01,zipcode,Avenel
ZCTA5 07002,34,66719,56701,1187,314800,53739,20325,46513,5712,15414,9780,10768,4839,27568,25213,2355,25213,9605,15608,2017-01-01,zipcode,Bayonne
ZCTA5 07003,34,48892,74961,1300,316800,39675,11924,33952,2734,8744,8937,8758,4779,18476,17657,819,17657,9387,8270,2017-01-01,zipcode,Bloomfield
ZCTA5 07004,34,7584,107417,1907,472000,6149,2366,5519,340,1853,1292,1477,557,2823,2517,306,2517,2311,206,2017-01-01,zipcode,Fairfield
ZCTA5 07005,34,15350,109888,1338,442900,12460,3191,10695,571,2065,2349,3812,1898,5945,5550,395,5550,4311,1239,2017-01-01,zipcode,Boonton
ZCTA5 07006,34,25712,114096,1430,528000,21085,6841,18505,1122,3669,3548,6305,3861,10051,9579,472,9579,7255,2324,2017-01-01,zipcode,Caldwell
ZCTA5 07008,34,24040,73892,1443,267500,19279,6208,16501,2248,5712,4215,3152,1174,8472,7958,514,7958,4616,3342,2017-01-01,zipcode,Carteret
ZCTA5 07009,34,12638,115926,1402,451500,10694,4185,9535,653,2440,1784,3213,1445,4603,4480,123,4480,3539,941,2017-01-01,zipcode,Cedar grove
ZCTA5 07010,34,24861,67799,1332,432200,21421,7418,19383,2133,5587,3347,5176,3140,11260,10577,683,10577,5070,5507,2017-01-01,zipcode,Cliffside park
ZCTA5 07011,34,41692,56285,1362,295900,33419,11409,27030,3916,11315,6210,4296,1293,13887,12635,1252,12635,6075,6560,2017-01-01,zipcode,Clifton
ZCTA5 07012,34,11475,86472,1374,339500,9327,2923,8332,630,1837,1868,2498,1499,4975,4542,433,4542,2623,1919,2017-01-01,zipcode,Clifton
ZCTA5 07013,34,26934,93005,1284,350600,22984,7790,20394,2230,5136,5217,5057,2754,10934,9912,1022,9912,7181,2731,2017-01-01,zipcode,Clifton
ZCTA5 07014,34,5195,96339,1412,335700,4019,1152,3594,137,902,855,1127,573,2018,1843,175,1843,1376,467,2017-01-01,zipcode,Clifton
ZCTA5 07016,34,23972,122848,1566,463800,19181,5839,17041,704,3422,3925,5403,3587,8942,8501,441,8501,6658,1843,2017-01-01,zipcode,Cranford
ZCTA5 07017,34,36304,41322,999,208700,29032,9506,24519,3068,9099,7805,3120,1427,16045,13543,2502,13543,3945,9598,2017-01-01,zipcode,East orange
ZCTA5 07018,34,28922,42335,1094,198300,23073,7697,19243,2821,7151,5615,2579,1077,12816,10682,2134,10682,2439,8243,2017-01-01,zipcode,East orange
ZCTA5 07020,34,12165,103505,2268,560000,9748,3066,9121,383,1495,1073,4004,2166,5995,5411,584,5411,1839,3572,2017-01-01,zipcode,Edgewater
ZCTA5 07021,34,2071,198750,3018,832900,1604,603,1395,14,134,123,608,516,819,728,91,728,688,40,2017-01-01,zipcode,Essex fells
ZCTA5 07022,34,14422,56057,1263,351400,12156,3832,10913,3067,3517,1957,1769,603,5806,5515,291,5515,1779,3736,2017-01-01,zipcode,Fairview
ZCTA5 07023,34,7648,132292,2708,433100,5727,1918,5044,75,1047,697,1969,1256,2647,2531,116,2531,2224,307,2017-01-01,zipcode,Fanwood
ZCTA5 07024,34,37077,76623,1665,332600,31608,12665,28650,1730,5091,4757,10448,6624,18218,16658,1560,16658,9739,6919,2017-01-01,zipcode,Fort lee
ZCTA5 07026,34,31890,54037,1281,329100,25348,9423,21669,3373,8836,5270,3117,1073,12151,11265,886,11265,4067,7198,2017-01-01,zipcode,Garfield
ZCTA5 07027,34,4365,79063,1433,365600,3575,1183,3091,142,945,774,750,480,1880,1789,91,1789,1105,684,2017-01-01,zipcode,Garwood
ZCTA5 07028,34,7791,195714,1485,622500,5533,1567,4854,134,641,669,1710,1700,2575,2490,85,2490,2294,196,2017-01-01,zipcode,Glen ridge
ZCTA5 07029,34,18667,61084,1332,307500,15059,4425,13090,2379,3832,2375,2354,2150,6745,6391,354,6391,1749,4642,2017-01-01,zipcode,Harrison
ZCTA5 07030,34,54117,127523,2100,652200,47063,9607,41566,2338,3591,3120,20856,11661,26983,24812,2171,24812,8092,16720,2017-01-01,zipcode,Hoboken
ZCTA5 07031,34,15877,74481,1288,347800,13303,4703,11445,1269,3596,2696,2578,1306,6218,6088,130,6088,3147,2941,2017-01-01,zipcode,North arlington
ZCTA5 07032,34,42443,63222,1213,318700,34345,12188,29297,5316,10450,6383,5145,2003,14453,13461,992,13461,6369,7092,2017-01-01,zipcode,Kearny
ZCTA5 07033,34,8235,108281,1421,347500,6710,2312,5712,722,1841,1628,1151,370,2910,2800,110,2800,2186,614,2017-01-01,zipcode,Kenilworth
ZCTA5 07034,34,9308,82626,1209,327000,7738,2062,6702,489,1674,1309,1985,1245,3664,3436,228,3436,2247,1189,2017-01-01,zipcode,Lake hiawatha
ZCTA5 07035,34,10707,92075,1597,337700,8787,2970,7840,518,2487,1962,1815,1058,3951,3696,255,3696,2864,832,2017-01-01,zipcode,Lincoln park
ZCTA5 07036,34,43727,66166,1194,263900,36065,11521,31029,4115,10627,9546,4532,2209,16365,15022,1343,15022,8542,6480,2017-01-01,zipcode,Linden
ZCTA5 07039,34,29955,153381,2626,599100,23407,8356,20760,741,2827,2877,7578,6737,10426,9931,495,9931,8876,1055,2017-01-01,zipcode,Livingston
ZCTA5 07040,34,24543,125036,1485,487000,18216,4809,16280,791,2497,2743,5306,4943,8880,8149,731,8149,6315,1834,2017-01-01,zipcode,Maplewood
ZCTA5 07041,34,7283,104786,1656,721600,5286,1623,4700,149,414,537,1719,1881,2777,2561,216,2561,1649,912,2017-01-01,zipcode,Millburn
ZCTA5 07042,34,26323,97920,1491,501500,20755,6224,18100,873,2368,3288,6525,5046,10912,10125,787,10125,4924,5201,2017-01-01,zipcode,Montclair
ZCTA5 07043,34,12689,191449,1738,715900,9427,3010,7830,187,300,732,3040,3571,4192,4133,59,4133,3323,810,2017-01-01,zipcode,Montclair
ZCTA5 07044,34,13893,110745,1432,428600,11070,3459,10038,307,1860,1736,3530,2605,5588,5222,366,5222,4215,1007,2017-01-01,zipcode,Verona
ZCTA5 07045,34,10732,162798,2277,568200,8482,2899,7545,241,1249,1324,2369,2362,3993,3816,177,3816,3567,249,2017-01-01,zipcode,Montville
ZCTA5 07046,34,4309,175556,1469,810300,3226,1180,2697,41,110,224,921,1401,1437,1404,33,1404,1282,122,2017-01-01,zipcode,Mountain lakes
ZCTA5 07047,34,63438,57269,1300,308000,51152,15023,44726,8101,14960,10106,7920,3639,23376,21932,1444,21932,8458,13474,2017-01-01,zipcode,North bergen
ZCTA5 07050,34,30644,38506,1064,222300,23785,8116,20491,4115,6610,5333,3126,1307,13056,11733,1323,11733,2654,9079,2017-01-01,zipcode,Orange
ZCTA5 07052,34,47609,93954,1450,370200,38353,12742,33387,2599,7175,6463,9814,7336,17318,16184,1134,16184,10837,5347,2017-01-01,zipcode,West orange
ZCTA5 07054,34,29889,90355,1260,445800,25142,7985,22026,1719,4416,3926,7286,4679,11635,11082,553,11082,5802,5280,2017-01-01,zipcode,Parsippany
ZCTA5 07055,34,71097,34958,1145,309100,50029,20673,40537,13861,14077,6518,4107,1974,21358,19544,1814,19544,4593,14951,2017-01-01,zipcode,Passaic
ZCTA5 07057,34,11701,62648,1189,351900,9922,3568,8728,703,3555,2036,1636,798,4988,4545,443,4545,2002,2543,2017-01-01,zipcode,Wallington
ZCTA5 07058,34,5004,114229,1590,596700,3823,779,3392,136,443,577,1274,962,1984,1864,120,1864,887,977,2017-01-01,zipcode,Pine brook
ZCTA5 07059,34,15982,154429,1538,749300,12860,4710,10905,414,1850,1629,3474,3538,5273,5097,176,5097,4702,395,2017-01-01,zipcode,Warren
ZCTA5 07060,34,46270,57959,1184,269300,35988,9788,30082,7848,9657,6675,3928,1974,15286,14235,1051,14235,5742,8493,2017-01-01,zipcode,Plainfield
ZCTA5 07062,34,12793,67664,1252,229800,9972,2944,8543,1139,3173,2475,1115,641,4489,3921,568,3921,2388,1533,2017-01-01,zipcode,Plainfield
ZCTA5 07063,34,14031,72440,1342,239000,10762,3335,8873,2059,3285,2014,957,558,4011,3701,310,3701,2477,1224,2017-01-01,zipcode,Plainfield
ZCTA5 07064,34,4150,81912,1377,283700,3257,1191,2720,305,946,633,602,234,1402,1334,68,1334,1070,264,2017-01-01,zipcode,Port reading
ZCTA5 07065,34,29471,69932,1402,263000,23717,7365,20443,2155,7090,5448,3852,1898,11796,10844,952,10844,6349,4495,2017-01-01,zipcode,Rahway
ZCTA5 07066,34,15595,100000,1377,418100,12927,4015,11357,811,3080,2576,3211,1679,5830,5718,112,5718,4584,1134,2017-01-01,zipcode,Clark
ZCTA5 07067,34,17751,103205,1380,351300,14796,4175,12708,860,4140,2979,2914,1815,6194,5989,205,5989,5255,734,2017-01-01,zipcode,Colonia
ZCTA5 07068,34,5907,110208,2243,492700,4890,1716,4432,176,731,750,1474,1301,2581,2415,166,2415,2001,414,2017-01-01,zipcode,Roseland
ZCTA5 07069,34,6133,122434,1728,722800,4995,2198,4185,139,904,776,965,1401,2256,1968,288,1968,1577,391,2017-01-01,zipcode,Watchung
ZCTA5 07070,34,18622,93787,1383,446500,15245,4867,13181,554,2998,2475,4485,2669,7387,7095,292,7095,4348,2747,2017-01-01,zipcode,Rutherford
ZCTA5 07071,34,21937,73218,1275,368100,18592,6754,16361,1798,5670,3403,3306,2184,9048,8542,506,8542,4890,3652,2017-01-01,zipcode,Lyndhurst
ZCTA5 07072,34,6268,89419,1249,380700,5439,1735,4602,559,1393,936,1063,651,2515,2328,187,2328,1564,764,2017-01-01,zipcode,Carlstadt
ZCTA5 07073,34,9433,77400,1421,380600,7867,2688,7066,536,1802,1460,2358,910,4102,3850,252,3850,1523,2327,2017-01-01,zipcode,East rutherford
ZCTA5 07074,34,2783,59700,1293,336600,2225,760,1938,305,828,411,267,127,1051,936,115,936,753,183,2017-01-01,zipcode,Moonachie
ZCTA5 07075,34,8350,102283,1686,384700,6802,2321,5946,297,1740,1660,1309,940,3102,3048,54,3048,2180,868,2017-01-01,zipcode,Wood ridge
ZCTA5 07076,34,24339,117765,1481,481500,19359,5991,17135,789,3244,3462,5140,4500,8996,8576,420,8576,6864,1712,2017-01-01,zipcode,Scotch plains
ZCTA5 07077,34,2437,76389,1247,281800,2125,635,1855,100,607,518,449,181,1038,926,112,926,675,251,2017-01-01,zipcode,Sewaren
ZCTA5 07078,34,13097,250001,1852,1315700,9201,3314,8186,151,335,430,2820,4450,4221,4067,154,4067,3720,347,2017-01-01,zipcode,Short hills
ZCTA5 07079,34,16503,121637,1578,553100,13542,5016,9615,449,1043,1467,3576,3080,5610,5151,459,5151,3504,1647,2017-01-01,zipcode,South orange
ZCTA5 07080,34,24106,91250,1691,325800,19681,6069,17272,1845,5395,3952,3835,2245,8033,7865,168,7865,6294,1571,2017-01-01,zipcode,South plainfield
ZCTA5 07081,34,17528,110547,1574,426800,14139,4361,12854,660,2373,2128,4254,3439,7290,7012,278,7012,4550,2462,2017-01-01,zipcode,Springfield
ZCTA5 07082,34,5214,116615,2260,547100,4207,1332,3457,71,589,657,1118,1022,1791,1673,118,1673,1609,64,2017-01-01,zipcode,Towaco
ZCTA5 07083,34,55393,81359,1449,319700,46371,15718,39304,4556,11835,9272,9209,4432,20219,19235,984,19235,14164,5071,2017-01-01,zipcode,Union
ZCTA5 07086,34,14268,84841,1386,557200,12188,3258,11048,933,2140,1823,3525,2627,6985,6267,718,6267,1992,4275,2017-01-01,zipcode,Weehawken
ZCTA5 07087,34,69954,43407,1178,296800,56372,17654,48067,14569,15543,8357,6592,3006,26294,23559,2735,23559,4719,18840,2017-01-01,zipcode,Union city
ZCTA5 07088,34,3305,50299,1429,216000,2866,1099,2460,271,952,682,436,119,1345,1232,113,1232,788,444,2017-01-01,zipcode,Vauxhall
ZCTA5 07090,34,30591,159923,1594,725100,22766,7562,20127,515,2433,2892,7442,6845,11182,10591,591,10591,8727,1864,2017-01-01,zipcode,Westfield
ZCTA5 07092,34,6907,129405,1853,619500,5643,2325,5027,209,1008,1116,1568,1126,2485,2428,57,2428,2214,214,2017-01-01,zipcode,Mountainside
ZCTA5 07093,34,65078,51509,1235,304800,53240,16186,46465,12029,12948,8974,8113,4401,25505,23607,1898,23607,5479,18128,2017-01-01,zipcode,West new york
ZCTA5 07094,34,19279,99883,1593,426000,16079,5515,14450,1673,3518,2688,3998,2573,7708,7105,603,7105,4105,3000,2017-01-01,zipcode,Secaucus
ZCTA5 07095,34,19511,80196,1570,273800,15666,4737,13951,1341,3818,3470,3158,2164,7781,7221,560,7221,3999,3222,2017-01-01,zipcode,Woodbridge
ZCTA5 07102,34,12986,24353,783,225000,11183,5798,7855,2400,2138,1726,839,752,5269,4762,507,4762,424,4338,2017-01-01,zipcode,Newark
ZCTA5 07103,34,32610,27859,945,173400,25101,10986,19504,4391,7296,5074,2012,731,13076,10871,2205,10871,2572,8299,2017-01-01,zipcode,Newark
ZCTA5 07104,34,51398,36547,1016,239900,39460,13861,33096,9062,10592,7702,4042,1698,20447,18365,2082,18365,4125,14240,2017-01-01,zipcode,Newark
ZCTA5 07105,34,53323,45227,1118,294000,42615,14132,37165,13486,13079,5562,3721,1317,17765,16692,1073,16692,3623,13069,2017-01-01,zipcode,Newark
ZCTA5 07106,34,33140,37421,1007,193200,25797,8890,21278,3203,8375,6307,2252,1141,13697,11192,2505,11192,3598,7594,2017-01-01,zipcode,Newark
ZCTA5 07107,34,37797,30779,996,231000,28059,10333,22980,6922,7864,5384,2311,499,14975,12576,2399,12576,2771,9805,2017-01-01,zipcode,Newark
ZCTA5 07108,34,21993,25192,885,183600,16264,6872,12965,2784,4985,3820,1013,363,10350,7993,2357,7993,1418,6575,2017-01-01,zipcode,Newark
ZCTA5 07109,34,36344,67782,1236,277700,30111,8836,25375,3021,8136,7499,4876,1843,13898,12824,1074,12824,6547,6277,2017-01-01,zipcode,Belleville
ZCTA5 07110,34,28722,94128,1323,372100,23564,7507,20682,1117,5054,4601,6380,3530,11255,10672,583,10672,7018,3654,2017-01-01,zipcode,Nutley
ZCTA5 07111,34,54715,39734,974,181900,42283,12173,35362,5780,13906,10322,3807,1547,24393,20108,4285,20108,5763,14345,2017-01-01,zipcode,Irvington
ZCTA5 07112,34,26016,35765,1044,229200,20297,6208,17111,2146,5930,6279,1961,795,11965,9359,2606,9359,2711,6648,2017-01-01,zipcode,Newark
ZCTA5 07114,34,13698,26326,864,200000,11458,6776,10006,3029,4590,1685,538,164,4443,3664,779,3664,470,3194,2017-01-01,zipcode,Newark
ZCTA5 07201,34,27005,44655,1101,251600,20967,6347,17513,4910,6625,3999,1448,531,9427,8332,1095,8332,2125,6207,2017-01-01,zipcode,Elizabeth
ZCTA5 07202,34,41820,44867,1126,269300,32775,10354,27438,6996,10984,6274,2228,956,14206,13131,1075,13131,3033,10098,2017-01-01,zipcode,Elizabeth
ZCTA5 07203,34,21746,52480,1083,206700,17570,5679,14605,2195,4852,4884,1810,864,8687,7806,881,7806,4218,3588,2017-01-01,zipcode,Roselle
ZCTA5 07204,34,13709,67300,1183,277900,10835,3163,9195,884,2567,2296,2443,1005,5260,4947,313,4947,2929,2018,2017-01-01,zipcode,Roselle park
ZCTA5 07205,34,22069,65717,1263,239700,17893,5193,14924,1819,5062,4577,2212,1254,7634,7257,377,7257,4748,2509,2017-01-01,zipcode,Hillside
ZCTA5 07206,34,28010,43429,1156,249500,19624,6603,15901,5967,6160,2731,779,264,8907,7728,1179,7728,1823,5905,2017-01-01,zipcode,Elizabethport
ZCTA5 07208,34,32499,46572,1067,290800,25521,7238,21507,4109,8433,4949,2718,1298,11761,11014,747,11014,2956,8058,2017-01-01,zipcode,Elizabeth
ZCTA5 07302,34,42861,113898,2077,605700,37145,8178,34630,2258,3335,3674,13318,12045,23165,20267,2898,20267,5903,14364,2017-01-01,zipcode,Jersey city
ZCTA5 07304,34,43290,45870,1078,283800,34313,11415,29583,4860,9393,6894,6081,2355,17280,15454,1826,15454,4108,11346,2017-01-01,zipcode,Jersey city
ZCTA5 07305,34,66229,49453,1148,291500,51057,18672,42535,6720,14191,9780,8138,3706,25286,22265,3021,22265,8706,13559,2017-01-01,zipcode,Jersey city
ZCTA5 07306,34,55298,51197,1134,322900,45085,16040,39004,5892,8583,6813,11673,6043,22242,20212,2030,20212,4377,15835,2017-01-01,zipcode,Jersey city
ZCTA5 07307,34,44317,59744,1240,335800,35562,11924,30429,5181,7587,6490,7221,3950,17230,15789,1441,15789,4590,11199,2017-01-01,zipcode,Jersey city
ZCTA5 07310,34,13378,147357,2734,696300,11875,2763,10054,344,752,543,3057,5358,6617,5796,821,5796,864,4932,2017-01-01,zipcode,Jersey city
ZCTA5 07311,34,420,189750,2978,-666666666,403,64,388,0,0,36,94,258,305,222,83,222,0,222,2017-01-01,zipcode,Jersey city
ZCTA5 07401,34,6820,151875,1905,682100,5169,1787,4477,81,401,772,1884,1339,2426,2279,147,2279,1924,355,2017-01-01,zipcode,Allendale
ZCTA5 07403,34,8053,80872,1458,299000,6550,2190,5683,451,1886,1353,1385,608,2924,2834,90,2834,1921,913,2017-01-01,zipcode,Bloomingdale
ZCTA5 07405,34,17779,113281,1362,440100,14416,3955,12267,481,2961,2607,3722,2496,6470,6211,259,6211,4938,1273,2017-01-01,zipcode,Butler
ZCTA5 07407,34,20293,76907,1570,348200,16365,5304,13992,1362,5305,3250,3008,1067,7004,6685,319,6685,3715,2970,2017-01-01,zipcode,Elmwood park
ZCTA5 07410,34,33447,109747,1602,406400,27094,8593,23476,1557,4734,4860,7281,5044,11980,11611,369,11611,9424,2187,2017-01-01,zipcode,Fair lawn
ZCTA5 07416,34,5521,59477,1137,198000,4483,1441,3788,291,1555,1095,640,207,2540,2151,389,2151,1533,618,2017-01-01,zipcode,Franklin
ZCTA5 07417,34,10953,155458,2385,975000,8852,3515,7658,161,1047,1296,2996,2158,4024,3853,171,3853,3367,486,2017-01-01,zipcode,Franklin lakes
ZCTA5 07418,34,2267,128438,1820,278300,1852,441,1489,33,520,454,370,112,871,747,124,747,683,64,2017-01-01,zipcode,Glenwood
ZCTA5 07419,34,8654,85225,1400,222700,7008,2280,6477,302,2033,1955,1478,709,4129,3712,417,3712,2868,844,2017-01-01,zipcode,Hamburg
ZCTA5 07420,34,5248,80614,1376,256400,4265,1437,3840,515,1398,997,674,256,1704,1579,125,1579,1375,204,2017-01-01,zipcode,Haskell
ZCTA5 07421,34,7351,90412,1739,252800,5988,1603,5173,439,2058,1171,1021,484,3285,2651,634,2651,2260,391,2017-01-01,zipcode,Hewitt
ZCTA5 07422,34,6466,86250,1872,214800,5291,1387,4705,192,1630,1373,1003,507,3068,2463,605,2463,2280,183,2017-01-01,zipcode,Highland lakes
ZCTA5 07423,34,4162,176518,2338,727900,3072,1015,2741,50,207,330,1268,886,1489,1449,40,1449,1335,114,2017-01-01,zipcode,Ho ho kus
ZCTA5 07424,34,27066,79302,1374,369400,22606,7575,18935,1496,6755,3776,4404,2504,10112,9611,501,9611,6224,3387,2017-01-01,zipcode,Little falls
ZCTA5 07430,34,26581,107215,1833,489900,22152,7527,17268,726,3543,3172,5938,3889,9586,9345,241,9345,7407,1938,2017-01-01,zipcode,Mahwah
ZCTA5 07432,34,7336,105313,1635,488500,5745,1708,5151,246,1418,942,1602,943,2818,2690,128,2690,1838,852,2017-01-01,zipcode,Midland park
ZCTA5 07435,34,2790,124500,1048,393300,2228,614,1847,56,458,350,531,452,1203,994,209,994,859,135,2017-01-01,zipcode,Newfoundland
ZCTA5 07436,34,13145,112944,1702,446800,10433,2958,8797,361,1991,2087,2716,1642,4530,4319,211,4319,3917,402,2017-01-01,zipcode,Oakland
ZCTA5 07438,34,11537,106035,1228,336100,9453,2936,7984,363,2304,1906,2215,1196,4593,4295,298,4295,3993,302,2017-01-01,zipcode,Oak ridge
ZCTA5 07439,34,2500,84167,1313,223000,1969,481,1716,75,660,514,273,194,932,858,74,858,715,143,2017-01-01,zipcode,Ogdensburg
ZCTA5 07440,34,4270,104236,736,386100,3466,1034,2973,153,817,608,1018,377,1608,1511,97,1511,1280,231,2017-01-01,zipcode,Pequannock
ZCTA5 07442,34,11205,92952,1450,303300,9307,2287,8075,473,3307,1523,1750,1022,4187,4005,182,4005,3059,946,2017-01-01,zipcode,Pompton lakes
ZCTA5 07444,34,11229,91060,2037,393100,9467,3790,8402,440,2171,2022,2412,1357,4962,4788,174,4788,3792,996,2017-01-01,zipcode,Pompton plains
ZCTA5 07446,34,15076,137331,1382,554400,12091,3699,10410,189,1513,1760,4199,2749,5867,5539,328,5539,4890,649,2017-01-01,zipcode,Ramsey
ZCTA5 07450,34,25568,162201,1969,738900,18749,6640,16414,480,1517,1919,6534,5964,8580,8359,221,8359,6420,1939,2017-01-01,zipcode,Ridgewood
ZCTA5 07452,34,11962,162443,1840,621800,8878,2837,7702,175,692,1222,3226,2387,3991,3901,90,3901,3630,271,2017-01-01,zipcode,Glen rock
ZCTA5 07456,34,12328,115399,2024,342000,9747,2941,8196,720,1960,1936,2374,1206,4190,3867,323,3867,3710,157,2017-01-01,zipcode,Ringwood
ZCTA5 07457,34,4238,100602,1942,331200,3565,829,3173,262,686,661,994,570,1994,1887,107,1887,1365,522,2017-01-01,zipcode,Riverdale
ZCTA5 07458,34,11632,176455,2243,1043400,8972,3377,7683,233,1079,1260,2653,2458,3968,3714,254,3714,3274,440,2017-01-01,zipcode,Saddle river
ZCTA5 07460,34,3400,96176,2121,252000,2841,578,2345,142,785,641,524,253,1406,1212,194,1212,1155,57,2017-01-01,zipcode,Stockholm
ZCTA5 07461,34,18643,84676,1124,281800,15268,4993,13091,822,4771,3764,2700,1034,8232,6806,1426,6806,5723,1083,2017-01-01,zipcode,Sussex
ZCTA5 07462,34,6559,88223,1289,223800,5325,1297,4570,296,1597,1427,807,443,3396,2573,823,2573,1830,743,2017-01-01,zipcode,Vernon
ZCTA5 07463,34,9985,115591,1905,434000,7907,2135,6910,278,1390,1683,2419,1140,3652,3596,56,3596,3125,471,2017-01-01,zipcode,Waldwick
ZCTA5 07465,34,6743,85545,1536,335800,5733,2248,5092,224,1540,1213,1393,722,2837,2653,184,2653,2244,409,2017-01-01,zipcode,Wanaque
ZCTA5 07470,34,55154,108092,1551,454500,45137,16120,37992,2452,9086,7076,12084,7294,18941,18278,663,18278,14538,3740,2017-01-01,zipcode,Wayne
ZCTA5 07480,34,16632,100963,1463,288400,13434,4678,11839,673,3823,2994,2810,1539,6551,5913,638,5913,5273,640,2017-01-01,zipcode,West milford
ZCTA5 07481,34,17231,147463,1663,724100,13440,5425,11372,276,1854,1847,4398,2997,5941,5827,114,5827,5343,484,2017-01-01,zipcode,Wyckoff
ZCTA5 07495,34,0,-666666666,-666666666,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-01-01,zipcode,Mahwah
ZCTA5 07501,34,32749,26691,1073,242400,24995,11978,20389,7187,7777,3860,1156,409,11858,10250,1608,10250,1696,8554,2017-01-01,zipcode,Paterson
ZCTA5 07502,34,16719,52292,1307,225200,12892,5043,10578,2189,4354,2919,704,412,4906,4413,493,4413,2112,2301,2017-01-01,zipcode,Paterson
ZCTA5 07503,34,18559,40368,1170,246300,14273,6182,11718,3043,4663,2691,898,423,5732,5193,539,5193,1643,3550,2017-01-01,zipcode,Paterson
